tag,sada,grp,instance_cnt,temp,inner_iters,min_temp,cooling,max_cycles,meas_cycles,success_rate,restarts_needed,cycles_needed,worst_success,worst_restarts,worst_cycles,q0.05_success,q0.05_restarts,q0.05_cycles,dest_temp_q0.05,duration
wruf36-157\R,wruf36-157,R,20,2,500,0.01,0.95,51647,44192,0.5254,5,220960,0.055,53,2342176,0.055,53,2342176,,
wruf36-157\Q,wruf36-157,Q,50,2,1000,0.01,0.99,527178,455157,0.9724,1,455157,0.74,3,1365471,0.8,2,910314,0.32434,1.06:15:38.4518002
wruf36-157\R,wruf36-157,R,20,0.2,500,0.01,0.95,29202,27503,0.25,11,302533,0.03,99,2722797,0.03,99,2722797,,
wruf36-157\R,wruf36-157,R,20,200,500,0.01,0.95,96538,67609,0.53025,4,270436,0.05,59,3988931,0.05,59,3988931,,
wruf36-157\Q,wruf36-157,Q,50,2,1000,0.333,0.3,1489,1344,0.0152,196,263424,0,1000000,1344000000,0,1000000,1344000000,0.6,00:06:13.5288348
wruf36-157\R,wruf36-157,R,50,2,1000,0.333,0.3,1489,1344,0.0112,266,357504,0,1000000,1344000000,0,1000000,1344000000,0.6,00:05:52.5373614
wruf36-157\Q,wruf36-157,Q,50,2,1000,0.01,0.1,2301,2423,0.1312,22,53306,0,1000000,2423000000,0,1000000,2423000000,0.02,00:40:36.5786817
wruf36-157\R,wruf36-157,R,50,2,1000,0.00333,0.3,5314,5101,0.1808,16,81616,0,1000000,5101000000,0,1000000,5101000000,0.0162,00:11:28.2731872
wruf36-157\Q,wruf36-157,Q,50,2,1000,0.00333,0.3,5314,5113,0.1828,15,76695,0,1000000,5113000000,0,1000000,5113000000,0.0162,00:17:49.6077684
wruf36-157\Q,wruf36-157,Q,50,2,1000,0.001,0.3,6313,6099,0.1908,15,91485,0,1000000,6099000000,0,1000000,6099000000,0.0162,00:22:21.7981137
wuf20-71\M,wuf20-71,M,50,2,500,0.01,0.1,1151,1100,0.8748,2,2200,0.616,4,4400,0.628,4,4400,0.02,06:27:07.9816977
